country,year,gender,age,nobs_log_inc,std_log_inc,nobs_res_1yr_log_chg,std_res_1yr_log_chg,kurt_res_1yr_log_chg,p1_res_1yr_log_chg,p2_5_res_1yr_log_chg,p5_res_1yr_log_chg,p10_res_1yr_log_chg,p12_5_res_1yr_log_chg,p25_res_1yr_log_chg,p37_5_res_1yr_log_chg,p50_res_1yr_log_chg,p62_5_res_1yr_log_chg,p75_res_1yr_log_chg,p87_5_res_1yr_log_chg,p90_res_1yr_log_chg,p95_res_1yr_log_chg,p97_5_res_1yr_log_chg,p99_res_1yr_log_chg,p99_9_res_1yr_log_chg,p99_99_res_1yr_log_chg,p9010_res_1yr_log_chg,p9050_res_1yr_log_chg,p5010_res_1yr_log_chg,nobs_res_5yr_log_chg,std_res_5yr_log_chg,kurt_res_5yr_log_chg
FRA,1991,Male,25-55,302370.0,0.71199572,273094.0,0.47643459,17.32428,-1.942026,-1.222823,-0.66120201,-0.2076586,-0.1237857,0.0011028,0.0354915,0.056395099,0.078469798,0.1129696,0.2126106,0.2698293,0.5936498,1.023661,1.561056,2.4497781,3.1525109,0.47748792,0.2134342,0.2640537,222436.0,0.59091508,12.56737
FRA,1992,Male,25-55,322639.0,0.70855522,276553.0,0.47208151,16.689739,-1.911406,-1.233071,-0.68679059,-0.2246329,-0.13605841,-0.0000568,0.0395221,0.0615725,0.083133198,0.1167759,0.2125428,0.26623771,0.5792675,0.99879801,1.514889,2.4809401,3.047436,0.49087059,0.20466521,0.28620541,233395.0,0.58811742,12.28108
FRA,1993,Male,25-55,314540.0,0.69906873,234599.0,0.49609721,16.69224,-2.0639839,-1.36763,-0.72872692,-0.1687502,-0.068952501,0.054332301,0.095534399,0.124795,0.1526899,0.18989719,0.27582219,0.3208133,0.59422171,1.002491,1.494109,2.4109421,3.102077,0.48956349,0.19601831,0.29354519,241255.0,0.55532348,13.48396
FRA,1994,Male,25-55,310907.0,0.76664889,243801.0,0.47527391,15.04994,-1.627977,-0.96827698,-0.47787961,-0.1533464,-0.098414503,-0.0031536999,0.0295438,0.049908102,0.070726201,0.1075456,0.26732811,0.37711951,0.85261887,1.319037,1.8307379,2.5469949,3.198256,0.5304659,0.32721141,0.20325451,205362.0,0.58692873,11.30469
FRA,1995,Male,25-55,330586.0,0.71021342,299276.0,0.43719009,18.180031,-1.7212321,-1.082827,-0.57248122,-0.16549291,-0.095659599,0.0112497,0.042770199,0.060598701,0.079166099,0.1107446,0.2128111,0.26950911,0.57964581,0.96642739,1.446892,2.3259211,2.945889,0.43500203,0.20891041,0.22609161,256546.0,0.55114841,12.98736
FRA,1996,Male,25-55,346292.0,0.71734661,304944.0,0.43906969,16.87945,-1.668177,-1.025424,-0.52117258,-0.14481001,-0.077337399,0.0230681,0.049109899,0.066437803,0.086213,0.1226243,0.2449107,0.31659731,0.65809011,1.069362,1.534763,2.381597,2.9008839,0.4614073,0.2501595,0.2112478,254836.0,0.57281673,11.71945
FRA,1997,Male,25-55,336626.0,0.70377028,314059.0,0.42450359,17.86116,-1.621966,-0.97489691,-0.48340029,-0.13063809,-0.073860601,0.0180375,0.044734702,0.061860599,0.081477702,0.1164222,0.2349755,0.30308691,0.63495171,1.017995,1.480991,2.3097961,2.7856381,0.433725,0.24122632,0.19249868,252647.0,0.56689727,11.90465
FRA,1998,Male,25-55,360657.0,0.70969218,323710.0,0.43795601,16.42577,-1.65461,-1.004097,-0.51338702,-0.1475893,-0.083922602,0.0163562,0.046504501,0.064328901,0.085800901,0.1263378,0.2638928,0.33891931,0.68300998,1.078218,1.532411,2.3322129,2.9743481,0.48650861,0.2745904,0.21191821,240399.0,0.6241219,10.78078
FRA,1999,Male,25-55,351904.0,0.69618422,329450.0,0.42662609,17.285601,-1.611545,-0.95749742,-0.47309971,-0.1429,-0.086476199,0.0070214998,0.035987802,0.055872999,0.080299601,0.1241941,0.2583341,0.32806459,0.65396708,1.042665,1.500885,2.2854011,2.8532901,0.47096461,0.27219158,0.198773,253722.0,0.59492308,11.56078
FRA,2000,Male,25-55,375274.0,0.70117909,333391.0,0.4492541,15.6554,-1.7334909,-1.079795,-0.56339782,-0.18058281,-0.1136406,-0.0011721,0.0327386,0.054072998,0.079287499,0.1254618,0.26454541,0.33768371,0.67190218,1.074128,1.546787,2.3599961,2.877672,0.5182665,0.2836107,0.2346558,260811.0,0.5973776,11.39634
